customer_id;first_name;last_name;gender;DOB;job_id;wealth_segment;deceased_indicator;owns_car;address;postcode;state;country;property_valuation
1;Laraine;Medendorp;F;1953-10-12;1;Mass Customer;N;Yes;060 Morning Avenue;2016;New South Wales;Australia;10
2;Eli;Bockman;Male;1980-12-16;2;Mass Customer;N;Yes;6 Meadow Vale Court;2153;New South Wales;Australia;10
3;Arlin;Dearle;Male;1954-01-20;3;Mass Customer;N;Yes;0 Holy Cross Court;4211;QLD;Australia;9
4;Talbot;;Male;1961-10-03;4;Mass Customer;N;No;17979 Del Mar Point;2448;New South Wales;Australia;4
5;Sheila-kathryn;Calton;Female;1977-05-13;5;Affluent Customer;N;Yes;9 Oakridge Court;3216;VIC;Australia;9
6;Curr;Duckhouse;Male;1966-09-16;6;High Net Worth;N;Yes;4 Delaware Trail;2210;New South Wales;Australia;9
7;Fina;Merali;Female;1976-02-23;7;Affluent Customer;N;Yes;49 Londonderry Lane;2650;New South Wales;Australia;4
8;Rod;Inder;Male;1962-03-30;8;Mass Customer;N;No;97736 7th Trail;2023;New South Wales;Australia;12
9;Mala;Lind;Female;1973-03-10;9;Affluent Customer;N;Yes;93405 Ludington Park;3044;VIC;Australia;8
10;Fiorenze;Birdall;Female;1988-10-11;10;Mass Customer;N;Yes;44339 Golden Leaf Alley;4557;QLD;Australia;4
11;Uriah;Bisatt;Male;1954-04-30;11;Mass Customer;N;No;2 Sutherland Street;3799;VIC;Australia;6
12;Sawyere;Flattman;Male;1994-07-21;12;Mass Customer;N;No;9 Mcbride Trail;2760;New South Wales;Australia;8
13;Gabriele;Norcross;Male;1955-02-15;13;High Net Worth;N;Yes;9861 New Castle Avenue;2428;New South Wales;Australia;9
14;Rayshell;Kitteman;Female;1983-03-25;14;Affluent Customer;N;No;52 Moland Street;3331;VIC;Australia;4
15;Erroll;Radage;Male;2000-07-13;15;Mass Customer;N;No;82391 Kensington Lane;3058;VIC;Australia;9
16;Harlin;Parr;Male;1977-02-27;16;Mass Customer;N;Yes;092 2nd Alley;2135;New South Wales;Australia;12
17;Heath;Faraday;Male;1962-03-19;17;Affluent Customer;N;Yes;59 Spaight Circle;2233;New South Wales;Australia;9
